LotArea,OverallQual,OverallCond,YearBuilt,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea
8450,7,5,2003,856,856,854,1710,3,1,8,0,2,548
9600,6,8,1976,1262,1262,0,1262,3,1,6,1,2,460
11250,7,5,2001,920,920,866,1786,3,1,6,1,2,608
9550,7,5,1915,756,961,756,1717,3,1,7,1,3,642
14260,8,5,2000,1145,1145,1053,2198,4,1,9,1,3,836
14115,5,5,1993,796,796,566,1362,1,1,5,0,2,480
10084,8,5,2004,1686,1694,0,1694,3,1,7,1,2,636
10382,7,6,1973,1107,1107,983,2090,3,1,7,2,2,484
6120,7,5,1931,952,1022,752,1774,2,2,8,2,2,468
7420,5,6,1939,991,1077,0,1077,2,2,5,2,1,205
11200,5,5,1965,1040,1040,0,1040,3,1,5,0,1,384
11924,9,5,2005,1175,1182,1142,2324,4,1,11,2,3,736
12968,5,6,1962,912,912,0,912,2,1,4,0,1,352
10652,7,5,2006,1494,1494,0,1494,3,1,7,1,3,840
10920,6,5,1960,1253,1253,0,1253,2,1,5,1,1,352
6120,7,8,1929,832,854,0,854,2,1,5,0,2,576
11241,6,7,1970,1004,1004,0,1004,2,1,5,1,2,480
10791,4,5,1967,0,1296,0,1296,2,2,6,0,2,516
13695,5,5,2004,1114,1114,0,1114,3,1,6,0,2,576
7560,5,6,1958,1029,1339,0,1339,3,1,6,0,1,294
14215,8,5,2005,1158,1158,1218,2376,4,1,9,1,3,853
7449,7,7,1930,637,1108,0,1108,3,1,6,1,1,280
9742,8,5,2002,1777,1795,0,1795,3,1,7,1,2,534
4224,5,7,1976,1040,1060,0,1060,3,1,6,1,2,572
8246,5,8,1968,1060,1060,0,1060,3,1,6,1,1,270
14230,8,5,2007,1566,1600,0,1600,3,1,7,1,3,890
7200,5,7,1951,900,900,0,900,3,1,5,0,2,576
11478,8,5,2007,1704,1704,0,1704,3,1,7,1,3,772
16321,5,6,1957,1484,1600,0,1600,2,1,6,2,1,319
6324,4,6,1927,520,520,0,520,1,1,4,0,1,240
8500,4,4,1920,649,649,668,1317,3,1,6,0,1,250
8544,5,6,1966,1228,1228,0,1228,3,1,6,0,1,271
11049,8,5,2007,1234,1234,0,1234,3,1,7,0,2,484
10552,5,5,1959,1398,1700,0,1700,4,1,6,1,2,447
7313,9,5,2005,1561,1561,0,1561,2,1,6,1,2,556
13418,8,5,2004,1117,1132,1320,2452,4,1,9,1,3,691
10859,5,5,1994,1097,1097,0,1097,3,1,6,0,2,672
8532,5,6,1954,1297,1297,0,1297,3,1,5,1,2,498
7922,5,7,1953,1057,1057,0,1057,3,1,5,0,1,246
6040,4,5,1955,0,1152,0,1152,2,2,6,0,0,0
8658,6,5,1965,1088,1324,0,1324,3,1,6,1,2,440
16905,5,6,1959,1350,1328,0,1328,2,1,5,2,1,308
9180,5,7,1983,840,884,0,884,2,1,5,0,2,504
9200,5,6,1975,938,938,0,938,3,1,5,0,1,308
7945,5,6,1959,1150,1150,0,1150,3,1,6,0,1,300
7658,9,5,2005,1752,1752,0,1752,2,1,6,1,2,576
12822,7,5,2003,1434,1518,631,2149,1,1,6,1,2,670
11096,8,5,2006,1656,1656,0,1656,3,1,7,0,3,826
4456,4,5,1920,736,736,716,1452,2,3,8,0,0,0
7742,5,7,1966,955,955,0,955,3,1,6,0,1,386
13869,6,6,1997,794,794,676,1470,3,1,6,0,2,388
6240,6,6,1934,816,816,0,1176,3,1,6,1,2,528
8472,5,5,1963,816,816,0,816,2,1,5,0,2,516
50271,9,5,1981,1842,1842,0,1842,0,1,5,1,3,894
7134,5,5,1955,384,1360,0,1360,3,1,6,1,2,572
10175,6,5,1964,1425,1425,0,1425,3,1,7,1,2,576
2645,8,5,1999,970,983,756,1739,3,1,7,0,2,480
11645,7,5,2004,860,860,860,1720,3,1,7,0,2,565
13682,10,5,2006,1410,1426,1519,2945,3,1,10,1,3,641
7200,5,7,1972,780,780,0,780,2,1,4,0,1,352
13072,6,5,2004,1158,1158,0,1158,3,1,5,0,2,576
7200,5,7,1920,530,581,530,1111,3,1,6,0,1,288
6442,8,5,2006,1370,1370,0,1370,2,1,6,1,2,484
10300,7,6,1921,576,902,808,1710,3,1,9,0,2,480
9375,7,5,1997,1057,1057,977,2034,3,1,8,0,2,645
9591,8,5,2004,1143,1143,1330,2473,4,1,9,1,3,852
19900,7,5,1970,1947,2207,0,2207,3,1,7,1,2,576
10665,7,5,2003,1453,1479,0,1479,3,1,7,0,2,558
4608,4,6,1945,747,747,0,747,2,1,4,0,1,220
15593,7,4,1953,1304,1304,983,2287,3,1,7,1,2,667
13651,7,6,1973,2223,2223,0,2223,3,1,8,2,2,516
7599,4,6,1982,845,845,0,845,2,1,4,0,2,360
10141,7,5,1998,832,885,833,1718,3,1,7,1,2,427
10200,5,7,1954,1086,1086,0,1086,3,1,6,0,2,490
5790,3,6,1915,840,840,765,1605,3,2,8,0,1,379
1596,4,5,1973,462,526,462,988,2,1,5,0,1,297
8475,4,7,1956,952,952,0,952,2,1,4,0,1,283
8635,5,5,1948,672,1072,213,1285,2,1,6,0,1,240
10778,4,5,1968,1768,1768,0,1768,4,2,8,0,0,0
10440,5,6,1910,440,682,548,1230,2,1,5,0,2,440
13000,6,6,1968,896,1182,960,2142,4,1,8,1,1,509
4500,6,5,1998,1237,1337,0,1337,2,1,5,0,2,405
10206,8,5,2007,1563,1563,0,1563,3,1,6,1,3,758
8892,5,5,1960,1065,1065,0,1065,3,1,6,0,2,461
8530,7,5,1995,384,804,670,1474,3,1,7,1,2,400
16059,8,5,1991,1288,1301,1116,2417,4,1,9,1,2,462
11911,6,5,2005,684,684,876,1560,3,1,6,1,2,400
3951,6,5,2009,612,612,612,1224,2,1,4,0,2,528
8470,3,2,1915,1013,1013,0,1526,2,1,6,0,0,0
8070,4,5,1994,990,990,0,990,3,1,5,0,0,0
7200,4,5,1950,0,1040,0,1040,2,1,4,0,2,420
8500,5,3,1961,1235,1235,0,1235,2,1,6,0,2,480
13360,5,7,1921,876,964,0,964,2,1,5,0,2,432
7200,6,6,1910,1214,1260,1031,2291,4,2,9,1,2,506
9337,6,5,1997,824,905,881,1786,3,1,7,0,2,684
9765,6,8,1993,680,680,790,1470,3,1,6,1,2,420
10264,7,5,1999,1588,1588,0,1588,3,1,6,0,2,472
10921,4,5,1965,960,960,0,960,3,1,6,0,1,432
10625,5,5,1920,458,835,0,835,2,1,5,0,1,366
9320,4,5,1959,950,1225,0,1225,3,1,6,0,0,0
10603,6,7,1977,1610,1610,0,1610,3,1,6,2,2,480
9206,6,5,1985,741,977,755,1732,3,1,7,1,2,476
7018,5,5,1979,0,1535,0,1535,4,2,8,0,2,410
10402,7,5,2009,1226,1226,0,1226,3,1,6,0,3,740
7758,7,4,1931,1040,1226,592,1818,4,1,7,2,1,240
9375,8,5,2003,1053,1053,939,1992,3,1,9,1,2,648
10800,4,7,1885,641,1047,0,1047,2,1,6,0,1,273
6000,5,5,1948,789,789,0,789,2,1,5,0,1,250
8500,5,7,1919,793,997,520,1517,3,1,7,0,0,0
11751,6,6,1977,1844,1844,0,1844,3,1,7,1,2,546
9525,6,4,1954,994,1216,639,1855,4,1,7,0,1,325
7750,7,5,2000,384,774,656,1430,3,1,7,1,2,400
9965,7,5,2007,1264,1282,1414,2696,4,1,10,1,3,792
21000,6,5,1953,1809,2259,0,2259,3,1,7,2,2,450
7259,6,8,1945,1028,1436,884,2320,3,1,9,1,1,180
3230,6,5,1999,729,729,729,1458,2,1,5,1,2,440
11616,5,5,1962,1092,1092,0,1092,3,1,6,1,1,288
8536,5,5,2006,1125,1125,0,1125,2,1,5,0,2,430
12376,7,5,1990,1673,1699,1523,3222,5,1,11,2,3,594
8461,6,5,2005,728,728,728,1456,3,1,8,1,2,390
21453,6,5,1969,938,988,0,988,1,1,4,2,2,540
6060,4,5,1939,732,772,351,1123,3,1,4,0,1,264
9464,6,7,1958,1080,1080,0,1080,3,1,5,0,1,288
7892,6,5,1993,1199,1199,0,1199,2,1,5,0,2,530
17043,6,5,1979,1362,1586,0,1586,3,1,7,1,2,435
6780,6,8,1935,520,520,0,754,2,1,5,0,0,0
4928,6,5,1976,1078,958,0,958,2,1,5,1,2,440
4388,5,7,1930,672,840,0,840,3,1,5,1,0,0
7590,6,5,1966,660,660,688,1348,3,1,6,1,2,453
8973,5,7,1958,1008,1053,0,1053,3,1,6,0,2,750
14200,7,6,1966,924,1216,941,2157,4,1,8,2,2,487
12224,6,5,2000,992,1022,1032,2054,3,1,7,1,2,390
