Id,GarageType,GarageYrBlt,GarageCars,GarageArea,GarageQual,GarageCond
186,Detached,1993,3,840,Ex,TA
241,Attchd,2008,2,750,TA,TA
125,Attchd,1979,2,435,TA,TA
210,Attchd,1964,2,504,TA,Gd
1262,Attchd,1956,1,338,TA,TA
596,Attchd,2005,3,758,TA,TA
331,Detchd,2002,1,352,TA,TA
647,Detchd,1950,2,420,TA,TA
975,Detchd,1997,2,532,TA,TA
1039,,,0,472.980137,,
1303,Attchd,1994,3,844,TA,TA
1373,Detached,1998,2,583,TA,TA
778,Attchd,1974,2,440,TA,TA
788,BuiltIn,2004,2,618,TA,TA
1071,Attchd,1956,1,286,TA,TA
297,Attchd,1950,1,282,TA,TA
1251,Attchd,1968,2,522,TA,TA
1438,Attchd,2008,3,774,TA,TA
1143,BuiltIn,2006,3,1052,TA,TA
56,Attchd,1964,2,576,TA,TA
523,Detchd,1950,2,420,TA,TA
308,,,0,472.980137,,
1432,Attchd,1976,2,440,TA,TA
1133,Detchd,1930,1,205,Fa,TA
1405,Detchd,1998,3,936,TA,TA
1035,Basment,1938,1,240,Fa,TA
204,Attchd,2004,2,420,TA,TA
651,Attchd,2007,2,562,TA,TA
1244,Attchd,2006,3,850,TA,TA
744,Attchd,1997,2,480,TA,TA
260,Detached,1956,1,308,TA,TA
32,Attchd,1966,1,271,TA,TA
226,Detchd,1991,1,280,TA,TA
221,Attchd,2006,2,675,TA,TA
798,Attchd,1953,1,240,TA,TA
413,Attchd,2009,2,484,TA,TA
868,Attchd,1961,2,544,TA,TA
478,BuiltIn,2006,3,694,TA,TA
787,Detchd,1961,1,416,TA,TA
886,Attchd,1999,2,506,TA,TA
557,Attchd,1957,1,299,TA,TA
44,Detchd,1977,1,308,TA,TA
1057,Attchd,2005,2,484,TA,TA
68,Attchd,2003,2,558,TA,TA
1201,Attchd,1972,1,280,TA,TA
1383,Detached,1989,2,576,TA,TA
907,Attchd,2006,3,865,TA,TA
907,Attchd,2006,3,865,TA,TA
1057,Attchd,2005,2,484,TA,TA
68,Attchd,2003,2,558,TA,TA
1201,Attchd,1972,1,280,TA,TA
1383,Detchd,1989,2,576,TA,TA
907,Attchd,2006,3,865,TA,TA
143,Detchd,2000,2,720,TA,TA
1179,Detchd,1921,1,186,Fa,TA
935,Attchd,1960,2,505,TA,TA
783,Attchd,2001,2,605,TA,TA
1361,BuiltIn,1998,2,621,TA,TA
1301,Attchd,1999,2,490,TA,TA
1119,BuiltIn,1958,1,300,TA,TA
1305,Detached,2004,2,380,TA,TA
1165,Attchd,1978,2,588,TA,TA
990,Attchd,2006,2,614,TA,TA
1058,BuiltIn,1994,2,467,TA,TA
535,Attchd,2004,2,403,TA,TA
175,Attchd,1986,2,616,TA,TA
1276,Detached,1948,2,400,TA,Fa
496,,,0,472.980137,,
908,Attchd,1936,1,180,Fa,TA
23,Attchd,2002,2,534,TA,TA
354,Detached,2005,2,484,TA,TA
147,Detached,1931,1,180,Fa,TA
491,BuiltIn,1976,1,336,TA,TA
1023,Detchd,1957,1,160,Fa,Fa
717,Detchd,1996,2,704,TA,TA
966,Attchd,2005,2,393,TA,TA
545,Attchd,2006,2,426,TA,TA
1446,Detchd,1990,1,240,TA,TA
862,Attchd,1965,2,504,TA,TA
1257,Attchd,1994,2,691,TA,TA
288,,,0,472.980137,,
1099,Detchd,1936,1,240,TA,TA
766,Attchd,2008,2,592,TA,TA
745,Attchd,1993,2,462,TA,TA
95,Attchd,1997,2,684,TA,TA
216,Attchd,1957,1,447,TA,TA
104,Attchd,2009,3,740,TA,TA
1049,Attchd,1960,2,336,TA,TA
494,Detchd,1964,1,308,TA,TA
938,Attchd,2005,2,689,TA,TA
1389,Attchd,2006,3,758,TA,TA
106,Attchd,2003,2,648,TA,TA
646,Detchd,1979,2,576,TA,TA
1093,Detchd,1925,2,576,TA,TA
1450,,,0,472.980137,,
639,,,0,472.980137,,
295,Attchd,1953,2,418,TA,TA
255,Attchd,1957,1,294,TA,TA
193,Attchd,1999,2,666,TA,TA
473,Basment,2005,2,525,TA,TA
67,Attchd,1970,2,576,TA,TA
1407,Detchd,1988,2,396,TA,TA
758,Attchd,1978,2,440,TA,TA
1152,Attchd,1959,2,528,TA,TA
1350,,,0,472.980137,,
1238,BuiltIn,2004,2,434,TA,TA
