LotArea,OverallQual,OverallCond,YearBuilt,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,OpenPorchSF,YrSold,SalePrice
8450,7,5,2003,856,Ex,Y,856,1710,2,3,1,4,8,61,2008,208500
9600,6,8,1976,1262,Ex,Y,1262,1262,2,3,1,3,6,0,2007,181500
11250,7,5,2001,920,Ex,Y,920,1786,2,3,1,4,6,42,2008,223500
9550,7,5,1915,756,Gd,Y,961,1717,1,3,1,4,7,35,2006,140000
14260,8,5,2000,1145,Ex,Y,1145,2198,2,4,1,4,9,84,2008,250000
14115,5,5,1993,796,Ex,Y,796,1362,1,1,1,3,5,30,2009,143000
10084,8,5,2004,1686,Ex,Y,1694,1694,2,3,1,4,7,57,2007,307000
10382,7,6,1973,1107,Ex,Y,1107,2090,2,3,1,3,7,204,2009,200000
6120,7,5,1931,952,Gd,Y,1022,1774,2,2,2,3,8,0,2008,129900
7420,5,6,1939,991,Ex,Y,1077,1077,1,2,2,3,5,4,2008,118000
11200,5,5,1965,1040,Ex,Y,1040,1040,1,3,1,3,5,0,2008,129500
11924,9,5,2005,1175,Ex,Y,1182,2324,3,4,1,5,11,21,2006,345000
12968,5,6,1962,912,TA,Y,912,912,1,2,1,3,4,0,2008,144000
10652,7,5,2006,1494,Ex,Y,1494,1494,2,3,1,4,7,33,2007,279500
10920,6,5,1960,1253,TA,Y,1253,1253,1,2,1,3,5,213,2008,157000
6120,7,8,1929,832,Ex,Y,854,854,1,2,1,3,5,112,2007,132000
11241,6,7,1970,1004,Ex,Y,1004,1004,1,2,1,3,5,0,2010,149000
10791,4,5,1967,0,TA,Y,1296,1296,2,2,2,3,6,0,2006,90000
13695,5,5,2004,1114,Ex,Y,1114,1114,1,3,1,4,6,102,2008,159000
7560,5,6,1958,1029,TA,Y,1339,1339,1,3,1,3,6,0,2009,139000
14215,8,5,2005,1158,Ex,Y,1158,2376,3,4,1,4,9,154,2006,325300
7449,7,7,1930,637,Ex,Y,1108,1108,1,3,1,4,6,0,2007,139400
9742,8,5,2002,1777,Ex,Y,1795,1795,2,3,1,4,7,159,2008,230000
4224,5,7,1976,1040,TA,Y,1060,1060,1,3,1,3,6,110,2007,129900
8246,5,8,1968,1060,Ex,Y,1060,1060,1,3,1,4,6,90,2010,154000
14230,8,5,2007,1566,Ex,Y,1600,1600,2,3,1,4,7,56,2009,256300
7200,5,7,1951,900,TA,Y,900,900,1,3,1,4,5,32,2010,134800
11478,8,5,2007,1704,Ex,Y,1704,1704,2,3,1,4,7,50,2010,306000
16321,5,6,1957,1484,TA,Y,1600,1600,1,2,1,3,6,258,2006,207500
6324,4,6,1927,520,Fa,N,520,520,1,1,1,2,4,0,2008,68500
8500,4,4,1920,649,TA,N,649,1317,1,3,1,3,6,54,2008,40000
8544,5,6,1966,1228,Gd,Y,1228,1228,1,3,1,4,6,65,2008,149350
11049,8,5,2007,1234,Ex,Y,1234,1234,2,3,1,4,7,30,2008,179900
10552,5,5,1959,1398,Gd,Y,1700,1700,1,4,1,4,6,38,2010,165500
7313,9,5,2005,1561,Ex,Y,1561,1561,2,2,1,5,6,47,2007,277500
13418,8,5,2004,1117,Ex,Y,1132,2452,3,4,1,4,9,32,2006,309000
10859,5,5,1994,1097,Ex,Y,1097,1097,1,3,1,3,6,64,2009,145000
8532,5,6,1954,1297,Gd,Y,1297,1297,1,3,1,3,5,0,2009,153000
7922,5,7,1953,1057,TA,Y,1057,1057,1,3,1,4,5,52,2010,109000
6040,4,5,1955,0,TA,N,1152,1152,2,2,2,2,6,0,2008,82000
8658,6,5,1965,1088,Ex,Y,1324,1324,2,3,1,3,6,138,2006,160000
16905,5,6,1959,1350,Gd,Y,1328,1328,1,2,1,3,5,104,2007,170000
9180,5,7,1983,840,Gd,Y,884,884,1,2,1,4,5,0,2007,144000
9200,5,6,1975,938,TA,Y,938,938,1,3,1,3,5,0,2008,130250
7945,5,6,1959,1150,Ex,Y,1150,1150,1,3,1,3,6,0,2006,141000
7658,9,5,2005,1752,Ex,Y,1752,1752,2,2,1,5,6,82,2010,319900
12822,7,5,2003,1434,Ex,Y,1518,2149,1,1,1,4,6,43,2009,239686
11096,8,5,2006,1656,Ex,Y,1656,1656,2,3,1,4,7,146,2007,249700
4456,4,5,1920,736,Gd,Y,736,1452,2,2,3,3,8,0,2009,113000
7742,5,7,1966,955,Ex,Y,955,955,1,3,1,3,6,0,2007,127000
13869,6,6,1997,794,Gd,Y,794,1470,2,3,1,3,6,75,2007,177000
6240,6,6,1934,816,TA,Y,816,1176,1,3,1,3,6,0,2006,114500
8472,5,5,1963,816,TA,N,816,816,1,2,1,3,5,0,2010,110000
50271,9,5,1981,1842,Gd,Y,1842,1842,0,0,1,4,5,72,2006,385000
7134,5,5,1955,384,TA,Y,1360,1360,1,3,1,3,6,50,2007,130000
10175,6,5,1964,1425,Gd,Y,1425,1425,2,3,1,3,7,0,2008,180500
2645,8,5,1999,970,Ex,Y,983,1739,2,3,1,4,7,0,2009,172500
11645,7,5,2004,860,Ex,Y,860,1720,2,3,1,4,7,70,2006,196500
13682,10,5,2006,1410,Ex,Y,1426,2945,3,3,1,4,10,0,2006,438780
7200,5,7,1972,780,Ex,Y,780,780,1,2,1,3,4,0,2008,124900
13072,6,5,2004,1158,Ex,Y,1158,1158,1,3,1,4,5,50,2006,158000
7200,5,7,1920,530,TA,N,581,1111,1,3,1,2,6,0,2007,101000
6442,8,5,2006,1370,Ex,Y,1370,1370,2,2,1,4,6,49,2007,202500
10300,7,6,1921,576,Gd,Y,902,1710,2,3,1,3,9,11,2010,140000
9375,7,5,1997,1057,Ex,Y,1057,2034,2,3,1,4,8,36,2009,219500
9591,8,5,2004,1143,Ex,Y,1143,2473,2,4,1,4,9,151,2007,317000
19900,7,5,1970,1947,TA,Y,2207,2207,2,3,1,3,7,0,2010,180000
10665,7,5,2003,1453,Ex,Y,1479,1479,2,3,1,4,7,29,2007,226000
4608,4,6,1945,747,TA,Y,747,747,1,2,1,3,4,0,2010,80000
15593,7,4,1953,1304,TA,Y,1304,2287,2,3,1,3,7,21,2006,225000
13651,7,6,1973,2223,Ex,Y,2223,2223,2,3,1,3,8,0,2007,244000
