LotArea,OverallQual,Age,CentralAir,GrLivArea,FullBath,KitchenQual,YrSold,SalePrice
8450,7,19,Y,1710,2,Gd,2008,208500
9600,6,46,Y,1262,2,TA,2007,181500
11250,7,21,Y,1786,2,Gd,2008,223500
9550,7,107,Y,1717,1,Gd,2006,140000
14260,8,22,Y,2198,2,Gd,2008,250000
14115,5,29,Y,1362,1,TA,2009,143000
10084,8,18,Y,1694,2,Gd,2007,307000
10382,7,49,Y,2090,2,TA,2009,200000
6120,7,91,Y,1774,2,TA,2008,129900
7420,5,83,Y,1077,1,TA,2008,118000
11200,5,57,Y,1040,1,TA,2008,129500
11924,9,17,Y,2324,3,Ex,2006,345000
12968,5,60,Y,912,1,TA,2008,144000
10652,7,16,Y,1494,2,Gd,2007,279500
10920,6,62,Y,1253,1,TA,2008,157000
6120,7,93,Y,854,1,TA,2007,132000
11241,6,52,Y,1004,1,TA,2010,149000
10791,4,55,Y,1296,2,TA,2006,90000
13695,5,18,Y,1114,1,Gd,2008,159000
7560,5,64,Y,1339,1,TA,2009,139000
14215,8,17,Y,2376,3,Gd,2006,325300
7449,7,92,Y,1108,1,Gd,2007,139400
9742,8,20,Y,1795,2,Gd,2008,230000
4224,5,46,Y,1060,1,TA,2007,129900
8246,5,54,Y,1060,1,Gd,2010,154000
14230,8,15,Y,1600,2,Gd,2009,256300
7200,5,71,Y,900,1,Gd,2010,134800
11478,8,15,Y,1704,2,Gd,2010,306000
16321,5,65,Y,1600,1,TA,2006,207500
6324,4,95,N,520,1,Fa,2008,68500
8500,4,102,N,1317,1,TA,2008,40000
8544,5,56,Y,1228,1,Gd,2008,149350
11049,8,15,Y,1234,2,Gd,2008,179900
10552,5,63,Y,1700,1,Gd,2010,165500
7313,9,17,Y,1561,2,Ex,2007,277500
13418,8,18,Y,2452,3,Gd,2006,309000
10859,5,28,Y,1097,1,TA,2009,145000
8532,5,68,Y,1297,1,TA,2009,153000
7922,5,69,Y,1057,1,Gd,2010,109000
6040,4,67,N,1152,2,Fa,2008,82000
8658,6,57,Y,1324,2,TA,2006,160000
16905,5,63,Y,1328,1,TA,2007,170000
9180,5,39,Y,884,1,Gd,2007,144000
9200,5,47,Y,938,1,TA,2008,130250
7945,5,63,Y,1150,1,TA,2006,141000
7658,9,17,Y,1752,2,Ex,2010,319900
12822,7,19,Y,2149,1,Gd,2009,239686
11096,8,16,Y,1656,2,Gd,2007,249700
4456,4,102,Y,1452,2,TA,2009,113000
7742,5,56,Y,955,1,TA,2007,127000
13869,6,25,Y,1470,2,TA,2007,177000
6240,6,88,Y,1176,1,TA,2006,114500
8472,5,59,N,816,1,TA,2010,110000
50271,9,41,Y,1842,0,Gd,2006,385000
7134,5,67,Y,1360,1,TA,2007,130000
10175,6,58,Y,1425,2,TA,2008,180500
2645,8,23,Y,1739,2,Gd,2009,172500
11645,7,18,Y,1720,2,Gd,2006,196500
13682,10,16,Y,2945,3,Gd,2006,438780
7200,5,50,Y,780,1,TA,2008,124900
13072,6,18,Y,1158,1,Gd,2006,158000
7200,5,102,N,1111,1,Fa,2007,101000
6442,8,16,Y,1370,2,Gd,2007,202500
10300,7,101,Y,1710,2,TA,2010,140000
9375,7,25,Y,2034,2,Gd,2009,219500
9591,8,18,Y,2473,2,Gd,2007,317000
19900,7,52,Y,2207,2,TA,2010,180000
10665,7,19,Y,1479,2,Gd,2007,226000
4608,4,77,Y,747,1,TA,2010,80000
15593,7,69,Y,2287,2,TA,2006,225000
