Id,LotArea,Street,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,TotalBsmtSF,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC
1,8450,Pave,7,5,2003,2003,Gable,856,GasA,Ex,Y,856,854,1710,1,0,2,1,3,1,Gd,8,0,,Y,0,61,0,0,0,0,
2,9600,Pave,6,8,1976,1976,Gable,1262,GasA,Ex,Y,1262,0,1262,0,1,2,0,3,1,TA,6,1,TA,Y,298,0,0,0,0,0,
3,11250,Pave,7,5,2001,2002,Gable,920,GasA,Ex,Y,920,866,1786,1,0,2,1,3,1,Gd,6,1,TA,Y,0,42,0,0,0,0,
4,9550,Pave,7,5,1915,1970,Gable,756,GasA,Gd,Y,961,756,1717,1,0,1,0,3,1,Gd,7,1,Gd,Y,0,35,272,0,0,0,
5,14260,Pave,8,5,2000,2000,Gable,1145,GasA,Ex,Y,1145,1053,2198,1,0,2,1,4,1,Gd,9,1,TA,Y,192,84,0,0,0,0,
6,14115,Pave,5,5,1993,1995,Gable,796,GasA,Ex,Y,796,566,1362,1,0,1,1,1,1,TA,5,0,,Y,40,30,0,320,0,0,
7,10084,Pave,8,5,2004,2005,Gable,1686,GasA,Ex,Y,1694,0,1694,1,0,2,0,3,1,Gd,7,1,Gd,Y,255,57,0,0,0,0,
8,10382,Pave,7,6,1973,1973,Gable,1107,GasA,Ex,Y,1107,983,2090,1,0,2,1,3,1,TA,7,2,TA,Y,235,204,228,0,0,0,
9,6120,Pave,7,5,1931,1950,Gable,952,GasA,Gd,Y,1022,752,1774,0,0,2,0,2,2,TA,8,2,TA,Y,90,0,205,0,0,0,
10,7420,Pave,5,6,1939,1950,Gable,991,GasA,Ex,Y,1077,0,1077,1,0,1,0,2,2,TA,5,2,TA,Y,0,4,0,0,0,0,
11,11200,Pave,5,5,1965,1965,Hip,1040,GasA,Ex,Y,1040,0,1040,1,0,1,0,3,1,TA,5,0,,Y,0,0,0,0,0,0,
12,11924,Pave,9,5,2005,2006,Hip,1175,GasA,Ex,Y,1182,1142,2324,1,0,3,0,4,1,Ex,11,2,Gd,Y,147,21,0,0,0,0,
13,12968,Pave,5,6,1962,1962,Hip,912,GasA,TA,Y,912,0,912,1,0,1,0,2,1,TA,4,0,,Y,140,0,0,0,176,0,
14,10652,Pave,7,5,2006,2007,Gable,1494,GasA,Ex,Y,1494,0,1494,0,0,2,0,3,1,Gd,7,1,Gd,Y,160,33,0,0,0,0,
15,10920,Pave,6,5,1960,1960,Hip,1253,GasA,TA,Y,1253,0,1253,1,0,1,1,2,1,TA,5,1,Fa,Y,0,213,176,0,0,0,
16,6120,Pave,7,8,1929,2001,Gable,832,GasA,Ex,Y,854,0,854,0,0,1,0,2,1,TA,5,0,,Y,48,112,0,0,0,0,
17,11241,Pave,6,7,1970,1970,Gable,1004,GasA,Ex,Y,1004,0,1004,1,0,1,0,2,1,TA,5,1,TA,Y,0,0,0,0,0,0,
18,10791,Pave,4,5,1967,1967,Gable,0,GasA,TA,Y,1296,0,1296,0,0,2,0,2,2,TA,6,0,,Y,0,0,0,0,0,0,
19,13695,Pave,5,5,2004,2004,Gable,1114,GasA,Ex,Y,1114,0,1114,1,0,1,1,3,1,Gd,6,0,,Y,0,102,0,0,0,0,
20,7560,Pave,5,6,1958,1965,Hip,1029,GasA,TA,Y,1339,0,1339,0,0,1,0,3,1,TA,6,0,,Y,0,0,0,0,0,0,
21,14215,Pave,8,5,2005,2006,Gable,1158,GasA,Ex,Y,1158,1218,2376,0,0,3,1,4,1,Gd,9,1,Gd,Y,240,154,0,0,0,0,
22,7449,Pave,7,7,1930,1950,Gable,637,GasA,Ex,Y,1108,0,1108,0,0,1,0,3,1,Gd,6,1,Gd,N,0,0,205,0,0,0,
23,9742,Pave,8,5,2002,2002,Hip,1777,GasA,Ex,Y,1795,0,1795,0,0,2,0,3,1,Gd,7,1,Gd,Y,171,159,0,0,0,0,
24,4224,Pave,5,7,1976,1976,Gable,1040,GasA,TA,Y,1060,0,1060,1,0,1,0,3,1,TA,6,1,TA,Y,100,110,0,0,0,0,
25,8246,Pave,5,8,1968,2001,Gable,1060,GasA,Ex,Y,1060,0,1060,1,0,1,0,3,1,Gd,6,1,TA,Y,406,90,0,0,0,0,
26,14230,Pave,8,5,2007,2007,Gable,1566,GasA,Ex,Y,1600,0,1600,0,0,2,0,3,1,Gd,7,1,Gd,Y,0,56,0,0,0,0,
27,7200,Pave,5,7,1951,2000,Gable,900,GasA,TA,Y,900,0,900,0,1,1,0,3,1,Gd,5,0,,Y,222,32,0,0,0,0,
28,11478,Pave,8,5,2007,2008,Gable,1704,GasA,Ex,Y,1704,0,1704,1,0,2,0,3,1,Gd,7,1,Gd,Y,0,50,0,0,0,0,
29,16321,Pave,5,6,1957,1997,Gable,1484,GasA,TA,Y,1600,0,1600,1,0,1,0,2,1,TA,6,2,Gd,Y,288,258,0,0,0,0,
30,6324,Pave,4,6,1927,1950,Gable,520,GasA,Fa,N,520,0,520,0,0,1,0,1,1,Fa,4,0,,Y,49,0,87,0,0,0,
31,8500,Pave,4,4,1920,1950,Gambrel,649,GasA,TA,N,649,668,1317,0,0,1,0,3,1,TA,6,0,,N,0,54,172,0,0,0,
32,8544,Pave,5,6,1966,2006,Gable,1228,GasA,Gd,Y,1228,0,1228,0,0,1,1,3,1,Gd,6,0,,Y,0,65,0,0,0,0,
33,11049,Pave,8,5,2007,2007,Gable,1234,GasA,Ex,Y,1234,0,1234,0,0,2,0,3,1,Gd,7,0,,Y,0,30,0,0,0,0,
34,10552,Pave,5,5,1959,1959,Hip,1398,GasA,Gd,Y,1700,0,1700,0,1,1,1,4,1,Gd,6,1,Gd,Y,0,38,0,0,0,0,
35,7313,Pave,9,5,2005,2005,Hip,1561,GasA,Ex,Y,1561,0,1561,1,0,2,0,2,1,Ex,6,1,Gd,Y,203,47,0,0,0,0,
36,13418,Pave,8,5,2004,2005,Gable,1117,GasA,Ex,Y,1132,1320,2452,0,0,3,1,4,1,Gd,9,1,Gd,Y,113,32,0,0,0,0,
37,10859,Pave,5,5,1994,1995,Gable,1097,GasA,Ex,Y,1097,0,1097,0,0,1,1,3,1,TA,6,0,,Y,392,64,0,0,0,0,
38,8532,Pave,5,6,1954,1990,Hip,1297,GasA,Gd,Y,1297,0,1297,0,1,1,0,3,1,TA,5,1,TA,Y,0,0,0,0,0,0,
39,7922,Pave,5,7,1953,2007,Gable,1057,GasA,TA,Y,1057,0,1057,1,0,1,0,3,1,Gd,5,0,,Y,0,52,0,0,0,0,
40,6040,Pave,4,5,1955,1955,Gable,0,GasA,TA,N,1152,0,1152,0,0,2,0,2,2,Fa,6,0,,N,0,0,0,0,0,0,
41,8658,Pave,6,5,1965,1965,Gable,1088,GasA,Ex,Y,1324,0,1324,0,0,2,0,3,1,TA,6,1,TA,Y,0,138,0,0,0,0,
42,16905,Pave,5,6,1959,1959,Gable,1350,GasA,Gd,Y,1328,0,1328,0,1,1,1,2,1,TA,5,2,Gd,P,0,104,0,0,0,0,
43,9180,Pave,5,7,1983,1983,Gable,840,GasA,Gd,Y,884,0,884,1,0,1,0,2,1,Gd,5,0,,Y,240,0,0,0,0,0,
44,9200,Pave,5,6,1975,1980,Hip,938,GasA,TA,Y,938,0,938,1,0,1,0,3,1,TA,5,0,,Y,145,0,0,0,0,0,
45,7945,Pave,5,6,1959,1959,Gable,1150,GasA,Ex,Y,1150,0,1150,1,0,1,0,3,1,TA,6,0,,Y,0,0,0,0,0,0,
46,7658,Pave,9,5,2005,2005,Hip,1752,GasA,Ex,Y,1752,0,1752,1,0,2,0,2,1,Ex,6,1,Gd,Y,196,82,0,0,0,0,
47,12822,Pave,7,5,2003,2003,Gable,1434,GasA,Ex,Y,1518,631,2149,1,0,1,1,1,1,Gd,6,1,Ex,Y,168,43,0,0,198,0,
48,11096,Pave,8,5,2006,2006,Gable,1656,GasA,Ex,Y,1656,0,1656,0,0,2,0,3,1,Gd,7,0,,Y,0,146,0,0,0,0,
49,4456,Pave,4,5,1920,2008,Gable,736,GasA,Gd,Y,736,716,1452,0,0,2,0,2,3,TA,8,0,,N,0,0,102,0,0,0,
50,7742,Pave,5,7,1966,1966,Gable,955,GasA,Ex,Y,955,0,955,1,0,1,0,3,1,TA,6,0,,Y,0,0,0,0,0,0,
51,13869,Pave,6,6,1997,1997,Gable,794,GasA,Gd,Y,794,676,1470,0,1,2,0,3,1,TA,6,0,,Y,0,75,0,0,0,0,
52,6240,Pave,6,6,1934,1950,Gable,816,GasA,TA,Y,816,0,1176,0,0,1,0,3,1,TA,6,1,Gd,Y,112,0,0,0,0,0,
53,8472,Grvl,5,5,1963,1963,Gable,816,GasA,TA,N,816,0,816,1,0,1,0,2,1,TA,5,0,,Y,106,0,0,0,0,0,
54,50271,Pave,9,5,1981,1987,Gable,1842,GasA,Gd,Y,1842,0,1842,2,0,0,1,0,1,Gd,5,1,Gd,Y,857,72,0,0,0,0,
55,7134,Pave,5,5,1955,1955,Gable,384,GasA,TA,Y,1360,0,1360,0,0,1,0,3,1,TA,6,1,TA,Y,0,50,0,0,0,0,
