const,LotArea,OverallQual,OverallCond,YearBuilt,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,OpenPorchSF,YrSold,HeatingQC_Fa,HeatingQC_Gd,HeatingQC_Po,HeatingQC_TA,CentralAir_Y
1.0,8450,7,5,2003,856,856,1710,2,3,1,4,8,61,2008,0,0,0,0,1
1.0,9600,6,8,1976,1262,1262,1262,2,3,1,3,6,0,2007,0,0,0,0,1
1.0,11250,7,5,2001,920,920,1786,2,3,1,4,6,42,2008,0,0,0,0,1
1.0,9550,7,5,1915,756,961,1717,1,3,1,4,7,35,2006,0,1,0,0,1
1.0,14260,8,5,2000,1145,1145,2198,2,4,1,4,9,84,2008,0,0,0,0,1
1.0,14115,5,5,1993,796,796,1362,1,1,1,3,5,30,2009,0,0,0,0,1
1.0,10084,8,5,2004,1686,1694,1694,2,3,1,4,7,57,2007,0,0,0,0,1
1.0,10382,7,6,1973,1107,1107,2090,2,3,1,3,7,204,2009,0,0,0,0,1
1.0,6120,7,5,1931,952,1022,1774,2,2,2,3,8,0,2008,0,1,0,0,1
1.0,7420,5,6,1939,991,1077,1077,1,2,2,3,5,4,2008,0,0,0,0,1
1.0,11200,5,5,1965,1040,1040,1040,1,3,1,3,5,0,2008,0,0,0,0,1
1.0,11924,9,5,2005,1175,1182,2324,3,4,1,5,11,21,2006,0,0,0,0,1
1.0,12968,5,6,1962,912,912,912,1,2,1,3,4,0,2008,0,0,0,1,1
1.0,10652,7,5,2006,1494,1494,1494,2,3,1,4,7,33,2007,0,0,0,0,1
1.0,10920,6,5,1960,1253,1253,1253,1,2,1,3,5,213,2008,0,0,0,1,1
1.0,6120,7,8,1929,832,854,854,1,2,1,3,5,112,2007,0,0,0,0,1
1.0,11241,6,7,1970,1004,1004,1004,1,2,1,3,5,0,2010,0,0,0,0,1
1.0,10791,4,5,1967,0,1296,1296,2,2,2,3,6,0,2006,0,0,0,1,1
1.0,13695,5,5,2004,1114,1114,1114,1,3,1,4,6,102,2008,0,0,0,0,1
1.0,7560,5,6,1958,1029,1339,1339,1,3,1,3,6,0,2009,0,0,0,1,1
1.0,14215,8,5,2005,1158,1158,2376,3,4,1,4,9,154,2006,0,0,0,0,1
1.0,7449,7,7,1930,637,1108,1108,1,3,1,4,6,0,2007,0,0,0,0,1
1.0,9742,8,5,2002,1777,1795,1795,2,3,1,4,7,159,2008,0,0,0,0,1
1.0,4224,5,7,1976,1040,1060,1060,1,3,1,3,6,110,2007,0,0,0,1,1
1.0,8246,5,8,1968,1060,1060,1060,1,3,1,4,6,90,2010,0,0,0,0,1
1.0,14230,8,5,2007,1566,1600,1600,2,3,1,4,7,56,2009,0,0,0,0,1
1.0,7200,5,7,1951,900,900,900,1,3,1,4,5,32,2010,0,0,0,1,1
1.0,11478,8,5,2007,1704,1704,1704,2,3,1,4,7,50,2010,0,0,0,0,1
1.0,16321,5,6,1957,1484,1600,1600,1,2,1,3,6,258,2006,0,0,0,1,1
1.0,6324,4,6,1927,520,520,520,1,1,1,2,4,0,2008,1,0,0,0,0
1.0,8500,4,4,1920,649,649,1317,1,3,1,3,6,54,2008,0,0,0,1,0
1.0,8544,5,6,1966,1228,1228,1228,1,3,1,4,6,65,2008,0,1,0,0,1
1.0,11049,8,5,2007,1234,1234,1234,2,3,1,4,7,30,2008,0,0,0,0,1
1.0,10552,5,5,1959,1398,1700,1700,1,4,1,4,6,38,2010,0,1,0,0,1
1.0,7313,9,5,2005,1561,1561,1561,2,2,1,5,6,47,2007,0,0,0,0,1
