const,LotArea,OverallQual,Age,GrLivArea,FullBath,CentralAir_Y,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA,YrSold_2007,YrSold_2008,YrSold_2009,YrSold_2010
1.0,8450,7,19,1710,2,1,0,1,0,0,1,0,0
1.0,9600,6,46,1262,2,1,0,0,1,1,0,0,0
1.0,11250,7,21,1786,2,1,0,1,0,0,1,0,0
1.0,9550,7,107,1717,1,1,0,1,0,0,0,0,0
1.0,14260,8,22,2198,2,1,0,1,0,0,1,0,0
1.0,14115,5,29,1362,1,1,0,0,1,0,0,1,0
1.0,10084,8,18,1694,2,1,0,1,0,1,0,0,0
1.0,10382,7,49,2090,2,1,0,0,1,0,0,1,0
1.0,6120,7,91,1774,2,1,0,0,1,0,1,0,0
1.0,7420,5,83,1077,1,1,0,0,1,0,1,0,0
1.0,11200,5,57,1040,1,1,0,0,1,0,1,0,0
1.0,11924,9,17,2324,3,1,0,0,0,0,0,0,0
1.0,12968,5,60,912,1,1,0,0,1,0,1,0,0
1.0,10652,7,16,1494,2,1,0,1,0,1,0,0,0
1.0,10920,6,62,1253,1,1,0,0,1,0,1,0,0
1.0,6120,7,93,854,1,1,0,0,1,1,0,0,0
1.0,11241,6,52,1004,1,1,0,0,1,0,0,0,1
1.0,10791,4,55,1296,2,1,0,0,1,0,0,0,0
1.0,13695,5,18,1114,1,1,0,1,0,0,1,0,0
1.0,7560,5,64,1339,1,1,0,0,1,0,0,1,0
1.0,14215,8,17,2376,3,1,0,1,0,0,0,0,0
1.0,7449,7,92,1108,1,1,0,1,0,1,0,0,0
1.0,9742,8,20,1795,2,1,0,1,0,0,1,0,0
1.0,4224,5,46,1060,1,1,0,0,1,1,0,0,0
1.0,8246,5,54,1060,1,1,0,1,0,0,0,0,1
1.0,14230,8,15,1600,2,1,0,1,0,0,0,1,0
1.0,7200,5,71,900,1,1,0,1,0,0,0,0,1
1.0,11478,8,15,1704,2,1,0,1,0,0,0,0,1
1.0,16321,5,65,1600,1,1,0,0,1,0,0,0,0
1.0,6324,4,95,520,1,0,1,0,0,0,1,0,0
1.0,8500,4,102,1317,1,0,0,0,1,0,1,0,0
1.0,8544,5,56,1228,1,1,0,1,0,0,1,0,0
1.0,11049,8,15,1234,2,1,0,1,0,0,1,0,0
1.0,10552,5,63,1700,1,1,0,1,0,0,0,0,1
1.0,7313,9,17,1561,2,1,0,0,0,1,0,0,0
1.0,13418,8,18,2452,3,1,0,1,0,0,0,0,0
1.0,10859,5,28,1097,1,1,0,0,1,0,0,1,0
1.0,8532,5,68,1297,1,1,0,0,1,0,0,1,0
1.0,7922,5,69,1057,1,1,0,1,0,0,0,0,1
1.0,6040,4,67,1152,2,0,1,0,0,0,1,0,0
1.0,8658,6,57,1324,2,1,0,0,1,0,0,0,0
1.0,16905,5,63,1328,1,1,0,0,1,1,0,0,0
1.0,9180,5,39,884,1,1,0,1,0,1,0,0,0
1.0,9200,5,47,938,1,1,0,0,1,0,1,0,0
1.0,7945,5,63,1150,1,1,0,0,1,0,0,0,0
1.0,7658,9,17,1752,2,1,0,0,0,0,0,0,1
1.0,12822,7,19,2149,1,1,0,1,0,0,0,1,0
1.0,11096,8,16,1656,2,1,0,1,0,1,0,0,0
1.0,4456,4,102,1452,2,1,0,0,1,0,0,1,0
1.0,7742,5,56,955,1,1,0,0,1,1,0,0,0
1.0,13869,6,25,1470,2,1,0,0,1,1,0,0,0
1.0,6240,6,88,1176,1,1,0,0,1,0,0,0,0
1.0,8472,5,59,816,1,0,0,0,1,0,0,0,1
1.0,50271,9,41,1842,0,1,0,1,0,0,0,0,0
1.0,7134,5,67,1360,1,1,0,0,1,1,0,0,0
1.0,10175,6,58,1425,2,1,0,0,1,0,1,0,0
1.0,2645,8,23,1739,2,1,0,1,0,0,0,1,0
1.0,11645,7,18,1720,2,1,0,1,0,0,0,0,0
1.0,13682,10,16,2945,3,1,0,1,0,0,0,0,0
1.0,7200,5,50,780,1,1,0,0,1,0,1,0,0
1.0,13072,6,18,1158,1,1,0,1,0,0,0,0,0
1.0,7200,5,102,1111,1,0,1,0,0,1,0,0,0
1.0,6442,8,16,1370,2,1,0,1,0,1,0,0,0
1.0,10300,7,101,1710,2,1,0,0,1,0,0,0,1
1.0,9375,7,25,2034,2,1,0,1,0,0,0,1,0
1.0,9591,8,18,2473,2,1,0,1,0,1,0,0,0
1.0,19900,7,52,2207,2,1,0,0,1,0,0,0,1
1.0,10665,7,19,1479,2,1,0,1,0,1,0,0,0
1.0,4608,4,77,747,1,1,0,0,1,0,0,0,1
1.0,15593,7,69,2287,2,1,0,0,1,0,0,0,0
1.0,13651,7,49,2223,2,1,0,0,1,1,0,0,0
1.0,7599,4,40,845,1,1,0,0,1,1,0,0,0
1.0,10141,7,24,1718,2,1,0,0,1,0,0,1,0
1.0,10200,5,68,1086,1,1,0,0,1,0,0,0,1
1.0,5790,3,107,1605,2,0,0,0,1,0,0,0,1
1.0,1596,4,49,988,1,1,0,0,1,0,0,1,0
1.0,8475,4,66,952,1,1,0,0,1,0,1,0,0
1.0,8635,5,74,1285,1,1,0,0,1,0,1,0,0
1.0,10778,4,54,1768,2,0,0,0,1,0,0,0,1
1.0,10440,5,112,1230,1,1,0,0,1,0,0,1,0
1.0,13000,6,54,2142,2,1,0,1,0,0,0,1,0
1.0,4500,6,24,1337,2,1,0,0,1,0,0,0,0
1.0,10206,8,15,1563,2,1,0,1,0,0,1,0,0
1.0,8892,5,62,1065,1,1,0,0,1,1,0,0,0
1.0,8530,7,27,1474,2,1,0,0,1,0,0,1,0
1.0,16059,8,31,2417,2,1,0,1,0,0,0,0,0
1.0,11911,6,17,1560,2,1,0,1,0,0,0,1,0
1.0,3951,6,13,1224,2,1,0,1,0,0,0,1,0
1.0,8470,3,107,1526,1,0,1,0,0,0,0,1,0
1.0,8070,4,28,990,1,1,0,0,1,1,0,0,0
1.0,7200,4,72,1040,1,1,0,0,1,0,0,0,0
1.0,8500,5,61,1235,1,1,0,0,1,0,0,0,0
1.0,13360,5,101,964,1,1,0,0,1,0,0,1,0
1.0,7200,6,112,2291,2,0,0,0,1,1,0,0,0
1.0,9337,6,25,1786,2,1,0,1,0,1,0,0,0
1.0,9765,6,29,1470,2,1,0,0,1,0,0,1,0
1.0,10264,7,23,1588,2,1,0,1,0,0,0,0,0
1.0,10921,4,57,960,1,1,0,0,1,1,0,0,0
1.0,10625,5,102,835,1,0,0,0,1,0,0,0,1
1.0,9320,4,63,1225,1,1,0,0,1,0,0,0,1
1.0,10603,6,45,1610,2,1,0,1,0,0,0,0,1
1.0,9206,6,37,1732,2,1,0,1,0,0,0,0,1
1.0,7018,5,43,1535,2,1,0,0,1,0,0,1,0
1.0,10402,7,13,1226,2,1,0,1,0,0,0,0,1
1.0,7758,7,91,1818,1,1,0,0,1,1,0,0,0
1.0,9375,8,19,1992,2,1,0,1,0,0,1,0,0
1.0,10800,4,137,1047,1,1,0,0,1,1,0,0,0
1.0,6000,5,74,789,1,1,0,0,1,0,1,0,0
1.0,8500,5,103,1517,2,0,1,0,0,1,0,0,0
1.0,11751,6,45,1844,2,1,0,0,1,0,0,0,1
1.0,9525,6,68,1855,2,1,0,0,1,0,0,0,0
1.0,7750,7,22,1430,2,1,0,0,1,0,0,0,1
1.0,9965,7,15,2696,2,1,0,0,0,1,0,0,0
1.0,21000,6,69,2259,2,1,0,1,0,1,0,0,0
1.0,7259,6,77,2320,2,1,0,1,0,1,0,0,0
1.0,3230,6,23,1458,2,1,0,0,1,1,0,0,0
1.0,11616,5,60,1092,1,1,0,0,1,0,0,1,0
1.0,8536,5,16,1125,1,1,0,0,1,1,0,0,0
1.0,12376,7,32,3222,3,1,0,1,0,0,0,0,1
1.0,8461,6,17,1456,2,1,0,1,0,0,0,0,0
1.0,21453,6,53,988,1,1,0,0,1,0,0,0,0
1.0,6060,4,83,1123,1,1,0,0,1,1,0,0,0
1.0,9464,6,64,1080,1,1,0,0,1,0,1,0,0
1.0,7892,6,29,1199,2,1,0,1,0,0,1,0,0
1.0,17043,6,43,1586,2,1,0,0,1,0,0,1,0
1.0,6780,6,87,754,1,0,0,0,1,0,0,0,0
1.0,4928,6,46,958,2,1,0,0,1,1,0,0,0
1.0,4388,5,92,840,1,1,0,0,1,1,0,0,0
1.0,7590,6,56,1348,1,1,0,0,1,0,0,0,0
1.0,8973,5,64,1053,1,1,0,0,0,0,0,0,0
1.0,14200,7,56,2157,2,1,0,1,0,0,0,0,0
1.0,12224,6,22,2054,2,1,0,1,0,0,0,1,0
1.0,7388,5,63,1327,1,1,0,1,0,1,0,0,0
1.0,6853,8,21,1296,2,1,0,1,0,0,0,1,0
1.0,10335,5,54,1721,2,1,0,0,1,0,0,0,0
1.0,10400,7,52,1682,2,1,0,0,1,0,1,0,0
1.0,10355,5,55,1214,2,1,0,0,1,1,0,0,0
1.0,11070,7,34,1959,3,1,0,0,1,0,0,0,0
1.0,9066,8,23,1852,2,1,0,1,0,0,1,0,0
1.0,15426,6,25,1764,2,1,0,1,0,0,0,1,0
1.0,10500,4,51,864,1,1,0,0,1,0,0,0,1
1.0,11645,7,17,1734,2,1,0,1,0,0,0,0,0
